wordform,fst_analyses
waabandiyang,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Neu+InclSubj+InclObj', 'waabandiwag+VAI+Cnj+Pos+Neu+InclSubj+InclObj']"
waabandisiiwangen,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Dub+InclSubj+InclObj', 'waabandiwag+VAI+Cnj+Neg+Dub+InclSubj+InclObj']"
waabandiwangen,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Dub+InclSubj+InclObj', 'waabandiwag+VAI+Cnj+Pos+Dub+InclSubj+InclObj']"
waabandisiiwangibanen,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+DubPrt+InclSubj+InclObj', 'waabandiwag+VAI+Cnj+Neg+DubPrt+InclSubj+InclObj']"
waabandiwangibanen,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+DubPrt+InclSubj+InclObj', 'waabandiwag+VAI+Cnj+Pos+DubPrt+InclSubj+InclObj']"
waabandisiwangiban,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Prt+InclSubj+InclObj', 'waabandiwag+VAI+Cnj+Neg+Prt+InclSubj+InclObj']"
waabandiyangiban,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Prt+InclSubj+InclObj', 'waabandiwag+VAI+Cnj+Pos+Prt+InclSubj+InclObj']"
waabandidaa,"['waabam+VTA+Recip/di+VAI+Imp+Del+InclSubj+InclObj', 'waabandiwag+VAI+Imp+Del+InclSubj+InclObj', 'waabam+VTA+Recip/di+VAI+Imp+Sim+InclSubj+InclObj', 'waabandiwag+VAI+Imp+Sim+InclSubj+InclObj']"
waabandisiidaa,"['waabam+VTA+Recip/di+VAI+Imp+Prb+InclSubj+InclObj', 'waabandiwag+VAI+Imp+Prb+InclSubj+InclObj']"
giwaabandisiimin,"['waabam+VTA+Recip/di+VAI+Ind+Neg+Neu+InclSubj+InclObj', 'waabandiwag+VAI+Ind+Neg+Neu+InclSubj+InclObj']"
giwaabandimin,"['waabam+VTA+Recip/di+VAI+Ind+Pos+Neu+InclSubj+InclObj', 'waabandiwag+VAI+Ind+Pos+Neu+InclSubj+InclObj']"
giwaabandiminaaban,"['waabam+VTA+Recip/di+VAI+Ind+Pos+Prt+InclSubj+InclObj', 'waabandiwag+VAI+Ind+Pos+Prt+InclSubj+InclObj']"
giwaabandisiiminaaban,"['waabam+VTA+Recip/di+VAI+Ind+Neg+Prt+InclSubj+InclObj', 'waabandiwag+VAI+Ind+Neg+Prt+InclSubj+InclObj']"
giwaabandiminaadog,"['waabam+VTA+Recip/di+VAI+Ind+Pos+Dub+InclSubj+InclObj', 'waabandiwag+VAI+Ind+Pos+Dub+InclSubj+InclObj']"
giwaabandisiiminaadog,"['waabam+VTA+Recip/di+VAI+Ind+Neg+Dub+InclSubj+InclObj', 'waabandiwag+VAI+Ind+Neg+Dub+InclSubj+InclObj']"
waabandizosiwaan,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+Neu+1SgSubj+1SgObj', 'waabandizo+VAI+Cnj+Neg+Neu+1SgSubj+1SgObj']"
waabandizoyaan,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+Neu+1SgSubj+1SgObj', 'waabandizo+VAI+Cnj+Pos+Neu+1SgSubj+1SgObj']"
waabandizosiiwaanen,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+Dub+1SgSubj+1SgObj', 'waabandizo+VAI+Cnj+Neg+Dub+1SgSubj+1SgObj']"
waabandizowaanen,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+Dub+1SgSubj+1SgObj', 'waabandizo+VAI+Cnj+Pos+Dub+1SgSubj+1SgObj']"
waabandizosiiwaambaanen,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+DubPrt+1SgSubj+1SgObj', 'waabandizo+VAI+Cnj+Neg+DubPrt+1SgSubj+1SgObj']"
waabandizowaambaanen,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+DubPrt+1SgSubj+1SgObj', 'waabandizo+VAI+Cnj+Pos+DubPrt+1SgSubj+1SgObj']"
waabandizosiwaambaan,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+Prt+1SgSubj+1SgObj', 'waabandizo+VAI+Cnj+Neg+Prt+1SgSubj+1SgObj']"
waabandizoyaambaan,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+Prt+1SgSubj+1SgObj', 'waabandizo+VAI+Cnj+Pos+Prt+1SgSubj+1SgObj']"
niwaabandizosii,"['waabam+VTA+Reflex/dizo+VAI+Ind+Neg+Neu+1SgSubj+1SgObj', 'waabandizo+VAI+Ind+Neg+Neu+1SgSubj+1SgObj']"
niwaabandiz,"['waabam+VTA+Reflex/dizo+VAI+Ind+Pos+Neu+1SgSubj+1SgObj', 'waabandizo+VAI+Ind+Pos+Neu+1SgSubj+1SgObj']"
niwaabandizonaaban,"['waabam+VTA+Reflex/dizo+VAI+Ind+Pos+Prt+1SgSubj+1SgObj', 'waabandizo+VAI+Ind+Pos+Prt+1SgSubj+1SgObj']"
niwaabandizosiinaaban,"['waabam+VTA+Reflex/dizo+VAI+Ind+Neg+Prt+1SgSubj+1SgObj', 'waabandizo+VAI+Ind+Neg+Prt+1SgSubj+1SgObj']"
niwaabandizonaadog,"['waabam+VTA+Reflex/dizo+VAI+Ind+Pos+Dub+1SgSubj+1SgObj', 'waabandizo+VAI+Ind+Pos+Dub+1SgSubj+1SgObj']"
niwaabandizosiinaadog,"['waabam+VTA+Reflex/dizo+VAI+Ind+Neg+Dub+1SgSubj+1SgObj', 'waabandizo+VAI+Ind+Neg+Dub+1SgSubj+1SgObj']"
waabandizosiweg,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+Neu+2PlSubj+2PlSubj', 'waabandizo+VAI+Cnj+Neg+Neu+2PlSubj+2PlSubj']"
waabandizoyeg,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+Neu+2PlSubj+2PlSubj', 'waabandizo+VAI+Cnj+Pos+Neu+2PlSubj+2PlSubj']"
waabandizosiiwegwen,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+Dub+2PlSubj+2PlObj', 'waabandizo+VAI+Cnj+Neg+Dub+2PlSubj+2PlObj']"
waabandizowegwen,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+Dub+2PlSubj+2PlObj', 'waabandizo+VAI+Cnj+Pos+Dub+2PlSubj+2PlObj']"
waabandizosiiwegibanen,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+DubPrt+2PlSubj+2PlObj', 'waabandizo+VAI+Cnj+Neg+DubPrt+2PlSubj+2PlObj']"
waabandizowegibanen,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+DubPrt+2PlSubj+2PlObj', 'waabandizo+VAI+Cnj+Pos+DubPrt+2PlSubj+2PlObj']"
waabandizosiwegiban,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+Prt+2PlSubj+2PlObj', 'waabandizo+VAI+Cnj+Neg+Prt+2PlSubj+2PlObj']"
waabandizoyegiban,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+Prt+2PlSubj+2PlObj', 'waabandizo+VAI+Cnj+Pos+Prt+2PlSubj+2PlObj']"
