wordform,fst_analyses
zaaga'amogobanen,"[""zaaga'am+VAI+Cnj+Pos+DubPrt+3SgProxSubj"", ""zaaga'am+VAI+Cnj+Neg+DubPrt+3SgProxSubj""]"
madaabiisiigobanen,"['madaabii+VAI+Cnj+Neg+DubPrt+3SgProxSubj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+3SgProxSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+3SgProxSubj+0SgObj']"
zaaga'amowaangibanen,"[""zaaga'am+VAI+Cnj+Pos+DubPrt+ExclSubj"", ""zaaga'am+VAI+Cnj+Neg+DubPrt+ExclSubj""]"
madaabiisiiwaangibanen,"['madaabii+VAI+Cnj+Neg+DubPrt+ExclSubj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+ExclSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+ExclSubj+0SgObj']"
zaaga'amowangibanen,"[""zaaga'am+VAI+Cnj+Pos+DubPrt+InclSubj"", ""zaaga'am+VAI+Cnj+Neg+DubPrt+InclSubj""]"
madaabiisiiwangibanen,"['madaabii+VAI+Cnj+Neg+DubPrt+InclSubj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+InclSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+InclSubj+0SgObj']"
zaaga'amowiingibanen,"[""zaaga'am+VAI+Cnj+Pos+DubPrt+XSubj"", ""zaaga'am+VAI+Cnj+Neg+DubPrt+XSubj""]"
madaabiisiiwiingibanen,"['madaabii+VAI+Cnj+Neg+DubPrt+XSubj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+XSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+XSubj+0SgObj']"
madaabiiwaambaanen,"['madaabii+VAI+Cnj+Pos+DubPrt+1SgSubj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+1SgSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+1SgSubj+0SgObj']"
madaabiiwegibanen,"['madaabii+VAI+Cnj+Pos+DubPrt+2PlSubj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+2PlSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+2PlSubj+0SgObj']"
madaabiiwambanen,"['madaabii+VAI+Cnj+Pos+DubPrt+2SgSubj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+2SgSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+2SgSubj+0SgObj']"
minongwaaminigobanen,"['minongwaam+VAI+Cnj+Pos+DubPrt+3PlObvSubj', 'minongwaam+VAI+Cnj+Pos+DubPrt+3SgObvSubj', 'minongwaami+VAI+Cnj+Pos+DubPrt+3PlObvSubj', 'minongwaami+VAI+Cnj+Pos+DubPrt+3SgObvSubj']"
wanishininigobanen,"['wanishin+VAI+Cnj+Pos+DubPrt+3PlObvSubj', 'wanishin+VAI+Cnj+Pos+DubPrt+3SgObvSubj']"
nagamonigobanen,"['nagamo+VAI+Cnj+Pos+DubPrt+3PlObvSubj', 'nagamo+VAI+Cnj+Pos+DubPrt+3SgObvSubj']"
niiminigobanen,"['niimi+VAI+Cnj+Pos+DubPrt+3PlObvSubj', 'niimi+VAI+Cnj+Pos+DubPrt+3SgObvSubj']"
maajiibatoonigobanen,"['maajiibatoo+VAI+Cnj+Pos+DubPrt+3PlObvSubj', 'maajiibatoo+VAI+Cnj+Pos+DubPrt+3SgObvSubj']"
madaabiinigobanen,"['madaabii+VAI+Cnj+Pos+DubPrt+3PlObvSubj', 'madaabii+VAI+Cnj+Pos+DubPrt+3SgObvSubj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+3PlObvSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+3SgObvSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+3PlObvSubj+0SgObj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+3SgObvSubj+0SgObj']"
nibaanigobanen,"['nibaa+VAI+Cnj+Pos+DubPrt+3PlObvSubj', 'nibaa+VAI+Cnj+Pos+DubPrt+3SgObvSubj']"
webinigenigobanen,"['webinige+VAI+Cnj+Pos+DubPrt+3PlObvSubj', 'webinige+VAI+Cnj+Pos+DubPrt+3SgObvSubj']"
madaabiiwaagobanen,"['madaabii+VAI+Cnj+Pos+DubPrt+3PlProxSubj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+3PlProxSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+3PlProxSubj+0SgObj']"
madaabiigobanen,"['madaabii+VAI+Cnj+Pos+DubPrt+3SgProxSubj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+3SgProxSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+3SgProxSubj+0SgObj']"
madaabiiwaangibanen,"['madaabii+VAI+Cnj+Pos+DubPrt+ExclSubj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+ExclSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+ExclSubj+0SgObj']"
madaabiiwangibanen,"['madaabii+VAI+Cnj+Pos+DubPrt+InclSubj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+InclSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+InclSubj+0SgObj']"
madaabiiwiingibanen,"['madaabii+VAI+Cnj+Pos+DubPrt+XSubj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+XSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+DubPrt+XSubj+0SgObj']"
madaabiisiwaan,"['madaabii+VAI+Cnj+Neg+Neu+1SgSubj', 'madaabiin+VAIO+Cnj+Neg+Neu+1SgSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Neu+1SgSubj+0SgObj']"
madaabiisiweg,"['madaabii+VAI+Cnj+Neg+Neu+2PlSubj', 'madaabiin+VAIO+Cnj+Neg+Neu+2PlSubj+0SgObj', 'madaabiin+VAIO+Cnj+Neg+Neu+2PlSubj+0PlObj']"
madaabiisiwan,"['madaabii+VAI+Cnj+Neg+Neu+2SgSubj', 'madaabiin+VAIO+Cnj+Neg+Neu+2SgSubj+0SgObj', 'madaabiin+VAIO+Cnj+Neg+Neu+2SgSubj+0PlObj']"
zaaga'anzinid,"[""zaaga'am+VAI+Cnj+Neg+Neu+3PlObvSubj"", ""zaaga'am+VAI+Cnj+Neg+Neu+3SgObvSubj""]"
wanishinzinid,"['wanishin+VAI+Cnj+Neg+Neu+3PlObvSubj', 'wanishin+VAI+Cnj+Neg+Neu+3SgObvSubj']"
nagamosinig,"['nagamo+VAI+Cnj+Neg+Neu+3PlObvSubj', 'nagamo+VAI+Cnj+Neg+Neu+3SgObvSubj']"
niimisinid,"['niimi+VAI+Cnj+Neg+Neu+3PlObvSubj', 'niimi+VAI+Cnj+Neg+Neu+3SgObvSubj']"
maajiibatoosinid,"['maajiibatoo+VAI+Cnj+Neg+Neu+3PlObvSubj', 'maajiibatoo+VAI+Cnj+Neg+Neu+3SgObvSubj']"
madaabiisinid,"['madaabii+VAI+Cnj+Neg+Neu+3PlObvSubj', 'madaabii+VAI+Cnj+Neg+Neu+3SgObvSubj', 'madaabiin+VAIO+Cnj+Neg+Neu+3PlObvSubj+0SgObj', 'madaabiin+VAIO+Cnj+Neg+Neu+3SgObvSubj+0SgObj', 'madaabiin+VAIO+Cnj+Neg+Neu+3PlObvSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Neu+3SgObvSubj+0PlObj']"
nibaasinid,"['nibaa+VAI+Cnj+Neg+Neu+3PlObvSubj', 'nibaa+VAI+Cnj+Neg+Neu+3SgObvSubj']"
webinigesinid,"['webinige+VAI+Cnj+Neg+Neu+3PlObvSubj', 'webinige+VAI+Cnj+Neg+Neu+3SgObvSubj']"
madaabiisigwaa,"['madaabii+VAI+Cnj+Neg+Neu+3PlProxSubj', 'madaabiin+VAIO+Cnj+Neg+Neu+3PlProxSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Neu+3PlProxSubj+0SgObj']"
nagamosinid,"['nagamo+VAI+Cnj+Neg+Neu+3PlObvSubj', 'nagamo+VAI+Cnj+Neg+Neu+3SgObvSubj']"
madaabiisig,"['madaabii+VAI+Cnj+Neg+Neu+3SgProxSubj', 'madaabiin+VAIO+Cnj+Neg+Neu+3SgProxSubj+0SgObj', 'madaabiin+VAIO+Cnj+Neg+Neu+3SgProxSubj+0PlObj']"
madaabiisiwaang,"['madaabii+VAI+Cnj+Neg+Neu+ExclSubj', 'madaabiin+VAIO+Cnj+Neg+Neu+ExclSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Neu+ExclSubj+0SgObj']"
