,wordform,fst_analyses
410,mawadisimaasiiwan,"['mawadish+VTA+Ind+Neg+Neu+XSubj+3SgObvObj', 'mawadish+VTA+Ind+Neg+Neu+XSubj+3PlObvObj']"
411,mizhwaasii,"['mizhwi+VTA+Ind+Neg+Neu+XSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Neu+XSubj+3SgProxObj']"
412,nimizhogoosiimin,"['mizhwi+VTA+Ind+Neg+Neu+XSubj+ExclObj', 'mizho+VTA+Ind+Neg+Neu+XSubj+ExclObj']"
413,gimizhogoosiimin,"['mizhwi+VTA+Ind+Neg+Neu+XSubj+InclObj', 'mizho+VTA+Ind+Neg+Neu+XSubj+InclObj']"
414,nimizhogonan,"['mizhwi+VTA+Ind+Pos+Neu+0PlSubj+1SgObj', 'mizho+VTA+Ind+Pos+Neu+0PlSubj+1SgObj']"
415,gimizhogonaawaan,"['mizhwi+VTA+Ind+Pos+Neu+0PlSubj+2PlObj', 'mizho+VTA+Ind+Pos+Neu+0PlSubj+2PlObj']"
416,gimizhogonan,"['mizhwi+VTA+Ind+Pos+Neu+0PlSubj+2SgObj', 'mizho+VTA+Ind+Pos+Neu+0PlSubj+2SgObj']"
417,omikaagonaawaan,"['mikaw+VTA+Ind+Pos+Neu+0PlSubj+3PlObvObj', 'mikaw+VTA+Ind+Pos+Neu+0PlSubj+3PlProxObj', 'mikaw+VTA+Ind+Pos+Neu+0SgSubj+3PlProxObj']"
418,owaabamigonaawaan,"['waabam+VTA+Ind+Pos+Neu+0PlSubj+3PlObvObj', 'waabam+VTA+Ind+Pos+Neu+0PlSubj+3PlProxObj']"
419,omizhogonaawaan,"['mizhwi+VTA+Ind+Pos+Neu+0PlSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+0PlSubj+3PlObvObj', 'mizhwi+VTA+Ind+Pos+Neu+0PlSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Neu+0PlSubj+3PlProxObj', 'mizhwi+VTA+Ind+Pos+Neu+0SgSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Neu+0SgSubj+3PlProxObj']"
420,omiinigonaawaan,"['miizh+VTA+Ind+Pos+Neu+0PlSubj+3PlObvObj', 'miizh+VTA+Ind+Pos+Neu+0PlSubj+3PlProxObj']"
421,omawadisigonaawaan,"['mawadish+VTA+Ind+Pos+Neu+0PlSubj+3PlObvObj', 'mawadish+VTA+Ind+Pos+Neu+0PlSubj+3PlProxObj']"
422,omikaagonan,"['mikaw+VTA+Ind+Pos+Neu+0PlSubj+3SgProxObj', 'mikaw+VTA+Ind+Pos+Neu+0PlSubj+3SgObvObj']"
423,owaabamigonan,"['waabam+VTA+Ind+Pos+Neu+0PlSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Neu+0PlSubj+3SgProxObj']"
424,omizhogonan,"['mizhwi+VTA+Ind+Pos+Neu+0PlSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Neu+0PlSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Neu+0PlSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Neu+0PlSubj+3SgProxObj']"
425,omiinigonan,"['miizh+VTA+Ind+Pos+Neu+0PlSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Neu+0PlSubj+3SgProxObj']"
426,omawadisigonan,"['mawadish+VTA+Ind+Pos+Neu+0PlSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Neu+0PlSubj+3SgProxObj']"
427,nimikaagomin,"['mikaw+VTA+Ind+Pos+Neu+0PlSubj+ExclObj', 'mikaw+VTA+Ind+Pos+Neu+0SgSubj+ExclObj']"
428,niwaabamigomin,"['waabam+VTA+Ind+Pos+Neu+0PlSubj+ExclObj', 'waabam+VTA+Ind+Pos+Neu+0SgSubj+ExclObj']"
429,nimizhogomin,"['mizhwi+VTA+Ind+Pos+Neu+0PlSubj+ExclObj', 'mizho+VTA+Ind+Pos+Neu+0PlSubj+ExclObj', 'mizhwi+VTA+Ind+Pos+Neu+0SgSubj+ExclObj', 'mizho+VTA+Ind+Pos+Neu+0SgSubj+ExclObj']"
430,nimiinigomin,"['miizh+VTA+Ind+Pos+Neu+0PlSubj+ExclObj', 'miizh+VTA+Ind+Pos+Neu+0SgSubj+ExclObj']"
431,nimawadisigomin,"['mawadish+VTA+Ind+Pos+Neu+0PlSubj+ExclObj', 'mawadish+VTA+Ind+Pos+Neu+0SgSubj+ExclObj']"
432,gimikaagomin,"['mikaw+VTA+Ind+Pos+Neu+0PlSubj+InclObj', 'mikaw+VTA+Ind+Pos+Neu+0SgSubj+InclObj']"
433,giwaabamigomin,"['waabam+VTA+Ind+Pos+Neu+0PlSubj+InclObj', 'waabam+VTA+Ind+Pos+Neu+0SgSubj+InclObj']"
434,gimizhogomin,"['mizhwi+VTA+Ind+Pos+Neu+0PlSubj+InclObj', 'mizho+VTA+Ind+Pos+Neu+0PlSubj+InclObj', 'mizhwi+VTA+Ind+Pos+Neu+0SgSubj+InclObj', 'mizho+VTA+Ind+Pos+Neu+0SgSubj+InclObj']"
435,gimiinigomin,"['miizh+VTA+Ind+Pos+Neu+0PlSubj+InclObj', 'miizh+VTA+Ind+Pos+Neu+0SgSubj+InclObj']"
436,gimawadisigomin,"['mawadish+VTA+Ind+Pos+Neu+0PlSubj+InclObj', 'mawadish+VTA+Ind+Pos+Neu+0SgSubj+InclObj']"
437,nimizhogon,"['mizhwi+VTA+Ind+Pos+Neu+0SgSubj+1SgObj', 'mizho+VTA+Ind+Pos+Neu+0SgSubj+1SgObj']"
438,gimizhogonaawaa,"['mizhwi+VTA+Ind+Pos+Neu+0SgSubj+2PlObj', 'mizho+VTA+Ind+Pos+Neu+0SgSubj+2PlObj']"
439,gimizhogon,"['mizhwi+VTA+Ind+Pos+Neu+0SgSubj+2SgObj', 'mizho+VTA+Ind+Pos+Neu+0SgSubj+2SgObj']"
440,omikaagonaawaa,"['mikaw+VTA+Ind+Pos+Neu+0SgSubj+3PlObvObj', 'mikaw+VTA+Ind+Pos+Neu+0SgSubj+3PlProxObj']"
441,owaabamigonaawaa,"['waabam+VTA+Ind+Pos+Neu+0SgSubj+3PlObvObj', 'waabam+VTA+Ind+Pos+Neu+0SgSubj+3PlProxObj']"
442,omizhogonaawaa,"['mizhwi+VTA+Ind+Pos+Neu+0SgSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+0SgSubj+3PlObvObj', 'mizhwi+VTA+Ind+Pos+Neu+0SgSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Neu+0SgSubj+3PlProxObj']"
443,omiinigonaawaa,"['miizh+VTA+Ind+Pos+Neu+0SgSubj+3PlObvObj', 'miizh+VTA+Ind+Pos+Neu+0SgSubj+3PlProxObj']"
444,omawadisigonaawaa,"['mawadish+VTA+Ind+Pos+Neu+0SgSubj+3PlObvObj', 'mawadish+VTA+Ind+Pos+Neu+0SgSubj+3PlProxObj']"
445,omikaagon,"['mikaw+VTA+Ind+Pos+Neu+0SgSubj+3SgProxObj', 'mikaw+VTA+Ind+Pos+Neu+0SgSubj+3SgObvObj']"
446,owaabamigon,"['waabam+VTA+Ind+Pos+Neu+0SgSubj+3SgProxObj', 'waabam+VTA+Ind+Pos+Neu+0SgSubj+3SgObvObj']"
447,omizhogon,"['mizhwi+VTA+Ind+Pos+Neu+0SgSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Neu+0SgSubj+3SgProxObj', 'mizhwi+VTA+Ind+Pos+Neu+0SgSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Neu+0SgSubj+3SgObvObj']"
448,omiinigon,"['miizh+VTA+Ind+Pos+Neu+0SgSubj+3SgProxObj', 'miizh+VTA+Ind+Pos+Neu+0SgSubj+3SgObvObj']"
449,omawadisigon,"['mawadish+VTA+Ind+Pos+Neu+0SgSubj+3SgProxObj', 'mawadish+VTA+Ind+Pos+Neu+0SgSubj+3SgObvObj']"
450,gimizhoninim,"['mizhwi+VTA+Ind+Pos+Neu+1SgSubj+2PlObj', 'mizho+VTA+Ind+Pos+Neu+1SgSubj+2PlObj']"
451,gimizhon,"['mizhwi+VTA+Ind+Pos+Neu+1SgSubj+2SgObj', 'mizho+VTA+Ind+Pos+Neu+1SgSubj+2SgObj']"
452,nimizhomaa',"['mizhwi+VTA+Ind+Pos+Neu+1SgSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+1SgSubj+3PlObvObj']"
453,nimizhwaag,"['mizhwi+VTA+Ind+Pos+Neu+1SgSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Neu+1SgSubj+3PlProxObj']"
454,nimikawimaan,"['mikaw+VTA+Ind+Pos+Neu+1SgSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Neu+1SgSubj+3PlObvObj']"
455,niwaabamimaan,"['waabam+VTA+Ind+Pos+Neu+1SgSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Neu+1SgSubj+3PlObvObj']"
456,nimizhomaan,"['mizhwi+VTA+Ind+Pos+Neu+1SgSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Neu+1SgSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Neu+1SgSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+1SgSubj+3PlObvObj']"
457,nimiinimaan,"['miizh+VTA+Ind+Pos+Neu+1SgSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Neu+1SgSubj+3PlObvObj']"
458,nimawadisimaan,"['mawadish+VTA+Ind+Pos+Neu+1SgSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Neu+1SgSubj+3PlObvObj']"
459,nimizhwaa,"['mizhwi+VTA+Ind+Pos+Neu+1SgSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Neu+1SgSubj+3SgProxObj']"
460,gimikawim,"['mikawi+VAI+Ind+Pos+Neu+2PlSubj', 'mikaw+VTA+Ind+Pos+Neu+2PlSubj+1SgObj']"
461,gimizhom,"['mizhwi+VTA+Ind+Pos+Neu+2PlSubj+1SgObj', 'mizho+VTA+Ind+Pos+Neu+2PlSubj+1SgObj']"
462,gimizhwaawaa',"['mizhwi+VTA+Ind+Pos+Neu+2PlSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+2PlSubj+3PlObvObj']"
463,gimizhwaawaag,"['mizhwi+VTA+Ind+Pos+Neu+2PlSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Neu+2PlSubj+3PlProxObj']"
464,gimizhwaawaan,"['mizhwi+VTA+Ind+Pos+Neu+2PlSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Neu+2PlSubj+3SgObvObj']"
465,gimizhwaawaa,"['mizhwi+VTA+Ind+Pos+Neu+2PlSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Neu+2PlSubj+3SgProxObj']"
466,gimikawinaam,"['mikaw+VTA+Ind+Pos+Neu+2SgSubj+ExclObj', 'mikaw+VTA+Ind+Pos+Neu+2PlSubj+ExclObj']"
467,giwaabaminaam,"['waabam+VTA+Ind+Pos+Neu+2SgSubj+ExclObj', 'waabam+VTA+Ind+Pos+Neu+2PlSubj+ExclObj']"
468,gimizhonaam,"['mizhwi+VTA+Ind+Pos+Neu+2SgSubj+ExclObj', 'mizho+VTA+Ind+Pos+Neu+2SgSubj+ExclObj', 'mizhwi+VTA+Ind+Pos+Neu+2PlSubj+ExclObj', 'mizho+VTA+Ind+Pos+Neu+2PlSubj+ExclObj']"
469,gimiizhinaam,"['miizh+VTA+Ind+Pos+Neu+2SgSubj+ExclObj', 'miizh+VTA+Ind+Pos+Neu+2PlSubj+ExclObj']"
470,gimawadishinaam,"['mawadish+VTA+Ind+Pos+Neu+2SgSubj+ExclObj', 'mawadish+VTA+Ind+Pos+Neu+2PlSubj+ExclObj']"
471,gimikaw,"['mikaw+VTA+Ind+Pos+Neu+2SgSubj+1SgObj', 'mikawi+VAI+Ind+Pos+Neu+2SgSubj']"
472,gimizh,"['mizhwi+VTA+Ind+Pos+Neu+2SgSubj+1SgObj', 'mizho+VTA+Ind+Pos+Neu+2SgSubj+1SgObj']"
473,gimizhomaa',"['mizhwi+VTA+Ind+Pos+Neu+2SgSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+2SgSubj+3PlObvObj']"
474,gimizhwaag,"['mizhwi+VTA+Ind+Pos+Neu+2SgSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Neu+2SgSubj+3PlProxObj']"
475,gimikawimaan,"['mikaw+VTA+Ind+Pos+Neu+2SgSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Neu+2SgSubj+3PlObvObj']"
476,giwaabamimaan,"['waabam+VTA+Ind+Pos+Neu+2SgSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Neu+2SgSubj+3PlObvObj']"
477,gimizhomaan,"['mizhwi+VTA+Ind+Pos+Neu+2SgSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Neu+2SgSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Neu+2SgSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+2SgSubj+3PlObvObj']"
478,gimiinimaan,"['miizh+VTA+Ind+Pos+Neu+2SgSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Neu+2SgSubj+3PlObvObj']"
479,gimawadisimaan,"['mawadish+VTA+Ind+Pos+Neu+2SgSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Neu+2SgSubj+3PlObvObj']"
480,gimizhwaa,"['mizhwi+VTA+Ind+Pos+Neu+2SgSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Neu+2SgSubj+3SgProxObj']"
481,omizhogowaa',"['mizhwi+VTA+Ind+Pos+Neu+3PlObvSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Neu+3PlObvSubj+3PlProxObj']"
482,omizhogoo',"['mizhwi+VTA+Ind+Pos+Neu+3PlObvSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Neu+3PlObvSubj+3SgProxObj']"
483,nimizhogoog,"['mizhwi+VTA+Ind+Pos+Neu+3PlProxSubj+1SgObj', 'mizho+VTA+Ind+Pos+Neu+3PlProxSubj+1SgObj']"
484,gimizhogowaag,"['mizhwi+VTA+Ind+Pos+Neu+3PlProxSubj+2PlObj', 'mizho+VTA+Ind+Pos+Neu+3PlProxSubj+2PlObj']"
485,gimizhogoog,"['mizhwi+VTA+Ind+Pos+Neu+3PlProxSubj+2SgObj', 'mizho+VTA+Ind+Pos+Neu+3PlProxSubj+2SgObj']"
486,omizhwaawaa',"['mizhwi+VTA+Ind+Pos+Neu+3PlProxSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+3PlProxSubj+3PlObvObj']"
487,omikawaawaan,"['mikaw+VTA+Ind+Pos+Neu+3PlProxSubj+3PlObvObj', 'mikaw+VTA+Ind+Pos+Neu+3PlProxSubj+3SgObvObj']"
488,owaabamaawaan,"['waabam+VTA+Ind+Pos+Neu+3PlProxSubj+3PlObvObj', 'waabam+VTA+Ind+Pos+Neu+3PlProxSubj+3SgObvObj']"
489,omizhwaawaan,"['mizhwi+VTA+Ind+Pos+Neu+3PlProxSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+3PlProxSubj+3PlObvObj', 'mizhwi+VTA+Ind+Pos+Neu+3PlProxSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Neu+3PlProxSubj+3SgObvObj']"
490,omiinaawaan,"['miizh+VTA+Ind+Pos+Neu+3PlProxSubj+3PlObvObj', 'miizh+VTA+Ind+Pos+Neu+3PlProxSubj+3SgObvObj']"
491,omawadisaawaan,"['mawadish+VTA+Ind+Pos+Neu+3PlProxSubj+3PlObvObj', 'mawadish+VTA+Ind+Pos+Neu+3PlProxSubj+3SgObvObj']"
492,nimizhogonaanig,"['mizhwi+VTA+Ind+Pos+Neu+3PlProxSubj+ExclObj', 'mizho+VTA+Ind+Pos+Neu+3PlProxSubj+ExclObj']"
493,gimizhogonaanig,"['mizhwi+VTA+Ind+Pos+Neu+3PlProxSubj+InclObj', 'mizho+VTA+Ind+Pos+Neu+3PlProxSubj+InclObj']"
494,omikaagowaan,"['mikaw+VTA+Ind+Pos+Neu+3SgObvSubj+3PlProxObj', 'mikaw+VTA+Ind+Pos+Neu+3PlObvSubj+3PlProxObj']"
495,owaabamigowaan,"['waabam+VTA+Ind+Pos+Neu+3SgObvSubj+3PlProxObj', 'waabam+VTA+Ind+Pos+Neu+3PlObvSubj+3PlProxObj']"
496,omizhogowaan,"['mizhwi+VTA+Ind+Pos+Neu+3SgObvSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Neu+3SgObvSubj+3PlProxObj', 'mizhwi+VTA+Ind+Pos+Neu+3PlObvSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Neu+3PlObvSubj+3PlProxObj']"
497,omiinigowaan,"['miizh+VTA+Ind+Pos+Neu+3SgObvSubj+3PlProxObj', 'miizh+VTA+Ind+Pos+Neu+3PlObvSubj+3PlProxObj']"
498,omawadisigowaan,"['mawadish+VTA+Ind+Pos+Neu+3SgObvSubj+3PlProxObj', 'mawadish+VTA+Ind+Pos+Neu+3PlObvSubj+3PlProxObj']"
499,omikaagoon,"['mikaw+VTA+Ind+Pos+Neu+3PlObvSubj+3SgProxObj', 'mikaw+VTA+Ind+Pos+Neu+3SgObvSubj+3SgProxObj']"
500,owaabamigoon,"['waabam+VTA+Ind+Pos+Neu+3PlObvSubj+3SgProxObj', 'waabam+VTA+Ind+Pos+Neu+3SgObvSubj+3SgProxObj']"
501,omizhogoon,"['mizhwi+VTA+Ind+Pos+Neu+3PlObvSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Neu+3PlObvSubj+3SgProxObj', 'mizhwi+VTA+Ind+Pos+Neu+3SgObvSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Neu+3SgObvSubj+3SgProxObj']"
502,omiinigoon,"['miizh+VTA+Ind+Pos+Neu+3PlObvSubj+3SgProxObj', 'miizh+VTA+Ind+Pos+Neu+3SgObvSubj+3SgProxObj']"
503,omawadisigoon,"['mawadish+VTA+Ind+Pos+Neu+3PlObvSubj+3SgProxObj', 'mawadish+VTA+Ind+Pos+Neu+3SgObvSubj+3SgProxObj']"
504,nimizhog,"['mizhwi+VTA+Ind+Pos+Neu+3SgProxSubj+1SgObj', 'mizho+VTA+Ind+Pos+Neu+3SgProxSubj+1SgObj']"
505,gimizhogowaa,"['mizhwi+VTA+Ind+Pos+Neu+3SgProxSubj+2PlObj', 'mizho+VTA+Ind+Pos+Neu+3SgProxSubj+2PlObj']"
506,gimizhog,"['mizhwi+VTA+Ind+Pos+Neu+3SgProxSubj+2SgObj', 'mizho+VTA+Ind+Pos+Neu+3SgProxSubj+2SgObj']"
507,omizhwaa',"['mizhwi+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']"
508,omikawaan,"['mikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']"
509,owaabamaan,"['waabam+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']"
510,omizhwaan,"['mizhwi+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']"
511,omiinaan,"['miizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']"
512,omawadisaan,"['mawadish+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']"
513,nimizhogonaan,"['mizhwi+VTA+Ind+Pos+Neu+3SgProxSubj+ExclObj', 'mizho+VTA+Ind+Pos+Neu+3SgProxSubj+ExclObj']"
514,gimizhogonaan,"['mizhwi+VTA+Ind+Pos+Neu+3SgProxSubj+InclObj', 'mizho+VTA+Ind+Pos+Neu+3SgProxSubj+InclObj']"
515,gimikaagoom,"['mikaw+VTA+Ind+Pos+Neu+XSubj+2PlObj', 'mikaw+VTA+Ind+Pos+Neu+ExclSubj+2PlObj']"
516,giwaabamigoom,"['waabam+VTA+Ind+Pos+Neu+ExclSubj+2PlObj', 'waabam+VTA+Ind+Pos+Neu+XSubj+2PlObj']"
517,gimizhogoom,"['mizhwi+VTA+Ind+Pos+Neu+ExclSubj+2PlObj', 'mizho+VTA+Ind+Pos+Neu+ExclSubj+2PlObj', 'mizhwi+VTA+Ind+Pos+Neu+XSubj+2PlObj', 'mizho+VTA+Ind+Pos+Neu+XSubj+2PlObj']"
518,gimiinigoom,"['miizh+VTA+Ind+Pos+Neu+ExclSubj+2PlObj', 'miizh+VTA+Ind+Pos+Neu+XSubj+2PlObj']"
519,gimawadisigoom,"['mawadish+VTA+Ind+Pos+Neu+ExclSubj+2PlObj', 'mawadish+VTA+Ind+Pos+Neu+XSubj+2PlObj']"
520,gimikaagoo,"['mikaw+VTA+Ind+Pos+Neu+XSubj+2SgObj', 'mikaw+VTA+Ind+Pos+Neu+ExclSubj+2SgObj']"
521,giwaabamigoo,"['waabam+VTA+Ind+Pos+Neu+XSubj+2SgObj', 'waabam+VTA+Ind+Pos+Neu+ExclSubj+2SgObj']"
522,gimizhogoo,"['mizhwi+VTA+Ind+Pos+Neu+XSubj+2SgObj', 'mizho+VTA+Ind+Pos+Neu+XSubj+2SgObj', 'mizhwi+VTA+Ind+Pos+Neu+ExclSubj+2SgObj', 'mizho+VTA+Ind+Pos+Neu+ExclSubj+2SgObj']"
523,gimiinigoo,"['miizh+VTA+Ind+Pos+Neu+XSubj+2SgObj', 'miizh+VTA+Ind+Pos+Neu+ExclSubj+2SgObj']"
524,gimawadisigoo,"['mawadish+VTA+Ind+Pos+Neu+XSubj+2SgObj', 'mawadish+VTA+Ind+Pos+Neu+ExclSubj+2SgObj']"
525,nimikawaanaanig,"['mikaw+VTA+Ind+Pos+Neu+ExclSubj+3PlProxObj', 'mikaw+VTA+Ind+Pos+Neu+ExclSubj+3PlObvObj']"
526,niwaabamaanaanig,"['waabam+VTA+Ind+Pos+Neu+ExclSubj+3PlProxObj', 'waabam+VTA+Ind+Pos+Neu+ExclSubj+3PlObvObj']"
527,nimizhwaanaanig,"['mizhwi+VTA+Ind+Pos+Neu+ExclSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Neu+ExclSubj+3PlProxObj', 'mizhwi+VTA+Ind+Pos+Neu+ExclSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+ExclSubj+3PlObvObj']"
528,nimiinaanaanig,"['miizh+VTA+Ind+Pos+Neu+ExclSubj+3PlProxObj', 'miizh+VTA+Ind+Pos+Neu+ExclSubj+3PlObvObj']"
529,nimawadisaanaanig,"['mawadish+VTA+Ind+Pos+Neu+ExclSubj+3PlProxObj', 'mawadish+VTA+Ind+Pos+Neu+ExclSubj+3PlObvObj']"
530,nimikawaanaan,"['mikaw+VTA+Ind+Pos+Neu+ExclSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Neu+ExclSubj+3SgProxObj']"
531,niwaabamaanaan,"['waabam+VTA+Ind+Pos+Neu+ExclSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Neu+ExclSubj+3SgProxObj']"
532,nimizhwaanaan,"['mizhwi+VTA+Ind+Pos+Neu+ExclSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Neu+ExclSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Neu+ExclSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Neu+ExclSubj+3SgProxObj']"
533,nimiinaanaan,"['miizh+VTA+Ind+Pos+Neu+ExclSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Neu+ExclSubj+3SgProxObj']"
534,nimawadisaanaan,"['mawadish+VTA+Ind+Pos+Neu+ExclSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Neu+ExclSubj+3SgProxObj']"
535,gimikawaanaanig,"['mikaw+VTA+Ind+Pos+Neu+InclSubj+3PlProxObj', 'mikaw+VTA+Ind+Pos+Neu+InclSubj+3PlObvObj']"
536,giwaabamaanaanig,"['waabam+VTA+Ind+Pos+Neu+InclSubj+3PlProxObj', 'waabam+VTA+Ind+Pos+Neu+InclSubj+3PlObvObj']"
537,gimizhwaanaanig,"['mizhwi+VTA+Ind+Pos+Neu+InclSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Neu+InclSubj+3PlProxObj', 'mizhwi+VTA+Ind+Pos+Neu+InclSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+InclSubj+3PlObvObj']"
538,gimiinaanaanig,"['miizh+VTA+Ind+Pos+Neu+InclSubj+3PlProxObj', 'miizh+VTA+Ind+Pos+Neu+InclSubj+3PlObvObj']"
539,gimawadisaanaanig,"['mawadish+VTA+Ind+Pos+Neu+InclSubj+3PlProxObj', 'mawadish+VTA+Ind+Pos+Neu+InclSubj+3PlObvObj']"
540,gimikawaanaan,"['mikaw+VTA+Ind+Pos+Neu+InclSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Neu+InclSubj+3SgProxObj']"
541,giwaabamaanaan,"['waabam+VTA+Ind+Pos+Neu+InclSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Neu+InclSubj+3SgProxObj']"
542,gimizhwaanaan,"['mizhwi+VTA+Ind+Pos+Neu+InclSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Neu+InclSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Neu+InclSubj+3SgProxObj', 'mizho+VTA+Ind+Pos+Neu+InclSubj+3SgProxObj']"
543,gimiinaanaan,"['miizh+VTA+Ind+Pos+Neu+InclSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Neu+InclSubj+3SgProxObj']"
544,gimawadisaanaan,"['mawadish+VTA+Ind+Pos+Neu+InclSubj+3SgObvObj', 'mawadish+VTA+Ind+Pos+Neu+InclSubj+3SgProxObj']"
545,nimizhogoo,"['mizhwi+VTA+Ind+Pos+Neu+XSubj+1SgObj', 'mizho+VTA+Ind+Pos+Neu+XSubj+1SgObj']"
546,mizhomaawa',"['mizhwi+VTA+Ind+Pos+Neu+XSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+XSubj+3PlObvObj']"
547,mizhwaawag,"['mizhwi+VTA+Ind+Pos+Neu+XSubj+3PlProxObj', 'mizho+VTA+Ind+Pos+Neu+XSubj+3PlProxObj']"
548,mikawimaawan,"['mikaw+VTA+Ind+Pos+Neu+XSubj+3SgObvObj', 'mikaw+VTA+Ind+Pos+Neu+XSubj+3PlObvObj']"
549,waabamimaawan,"['waabam+VTA+Ind+Pos+Neu+XSubj+3SgObvObj', 'waabam+VTA+Ind+Pos+Neu+XSubj+3PlObvObj']"
550,mizhomaawan,"['mizhwi+VTA+Ind+Pos+Neu+XSubj+3SgObvObj', 'mizho+VTA+Ind+Pos+Neu+XSubj+3SgObvObj', 'mizhwi+VTA+Ind+Pos+Neu+XSubj+3PlObvObj', 'mizho+VTA+Ind+Pos+Neu+XSubj+3PlObvObj']"
551,miinimaawan,"['miizh+VTA+Ind+Pos+Neu+XSubj+3SgObvObj', 'miizh+VTA+Ind+Pos+Neu+XSubj+3PlObvObj']"
