wordform,fst_analyses
mizhomaawagen,"['mizhwi+VTA+Cnj+Pos+Dub+1SgSubj+3PlObvObj', 'mizho+VTA+Cnj+Pos+Dub+1SgSubj+3PlObvObj', 'mizhwi+VTA+Cnj+Pos+Dub+1SgSubj+3SgObvObj', 'mizho+VTA+Cnj+Pos+Dub+1SgSubj+3SgObvObj']"
waabamimaawagen,"['waabam+VTA+Cnj+Pos+Dub+1SgSubj+3PlObvObj', 'waabam+VTA+Cnj+Pos+Dub+1SgSubj+3SgObvObj']"
mizhwaasiwaawagwaawen,"['mizhwi+VTA+Cnj+Neg+Dub+1SgSubj+3PlProxObj', 'mizho+VTA+Cnj+Neg+Dub+1SgSubj+3PlProxObj']"
mizhwaawagwaawen,"['mizhwi+VTA+Cnj+Pos+Dub+1SgSubj+3PlProxObj', 'mizho+VTA+Cnj+Pos+Dub+1SgSubj+3PlProxObj']"
mizhwaasiwaawagen,"['mizhwi+VTA+Cnj+Neg+Dub+1SgSubj+3SgProxObj', 'mizho+VTA+Cnj+Neg+Dub+1SgSubj+3SgProxObj']"
mizhwaawagen,"['mizhwi+VTA+Cnj+Pos+Dub+1SgSubj+3SgProxObj', 'mizho+VTA+Cnj+Pos+Dub+1SgSubj+3SgProxObj']"
mikawisiiwegwen,"['mikaw+VTA+Cnj+Neg+Dub+2PlSubj+1SgObj', 'mikawi+VAI+Cnj+Neg+Dub+2PlSubj']"
mizhosiiwegwen,"['mizhwi+VTA+Cnj+Neg+Dub+2PlSubj+1SgObj', 'mizho+VTA+Cnj+Neg+Dub+2PlSubj+1SgObj']"
mawadishiwegwen,"['mawadish+VTA+Cnj+Pos+Dub+2PlSubj+1SgObj', 'mawadishiwe+VAI+Cnj+Pos+Dub+3SgProxSubj']"
mikawiwegwen,"['mikaw+VTA+Cnj+Pos+Dub+2PlSubj+1SgObj', 'mikawi+VAI+Cnj+Pos+Dub+2PlSubj']"
mizhowegwen,"['mizhwi+VTA+Cnj+Pos+Dub+2PlSubj+1SgObj', 'mizho+VTA+Cnj+Pos+Dub+2PlSubj+1SgObj']"
mawadisimaasiwaawegwen,"['mawadish+VTA+Cnj+Neg+Dub+2PlSubj+3PlObvObj', 'mawadish+VTA+Cnj+Neg+Dub+2PlSubj+3SgObvObj']"
miinimaasiwaawegwen,"['miizh+VTA+Cnj+Neg+Dub+2PlSubj+3PlObvObj', 'miizh+VTA+Cnj+Neg+Dub+2PlSubj+3SgObvObj']"
mikawimaasiwaawegwen,"['mikaw+VTA+Cnj+Neg+Dub+2PlSubj+3PlObvObj', 'mikaw+VTA+Cnj+Neg+Dub+2PlSubj+3SgObvObj']"
mizhomaasiwaawegwen,"['mizhwi+VTA+Cnj+Neg+Dub+2PlSubj+3PlObvObj', 'mizho+VTA+Cnj+Neg+Dub+2PlSubj+3PlObvObj', 'mizhwi+VTA+Cnj+Neg+Dub+2PlSubj+3SgObvObj', 'mizho+VTA+Cnj+Neg+Dub+2PlSubj+3SgObvObj']"
waabamimaasiwaawegwen,"['waabam+VTA+Cnj+Neg+Dub+2PlSubj+3PlObvObj', 'waabam+VTA+Cnj+Neg+Dub+2PlSubj+3SgObvObj']"
mawadisimaawegwen,"['mawadish+VTA+Cnj+Pos+Dub+2PlSubj+3PlObvObj', 'mawadish+VTA+Cnj+Pos+Dub+2PlSubj+3SgObvObj']"
miinimaawegwen,"['miizh+VTA+Cnj+Pos+Dub+2PlSubj+3PlObvObj', 'miizh+VTA+Cnj+Pos+Dub+2PlSubj+3SgObvObj']"
