wordform,fst_analyses
omiijinaabaniin,"['miijin+VTI+Ind+Pos+Prt+3SgProxSubj+0PlObj', 'miijizh+VTA+Ind+Pos+Prt+3SgProxSubj+3SgObvObj']"
nimiijiminaabaniin,"['miijim+NI+Pret+Pl+ExclPoss', 'miijin+VTI+Ind+Pos+Prt+ExclSubj+0PlObj']"
gimiijiminaabaniin,"['miijim+NI+Pret+Pl+InclPoss', 'miijin+VTI+Ind+Pos+Prt+InclSubj+0PlObj']"
nidayaanaaban,"['ayaa+VAI+Ind+Pos+Prt+1SgSubj', 'ayaan+VTI+Ind+Pos+Prt+1SgSubj+0SgObj']"
nimiijinaaban,"['miijizh+VTA+Ind+Pos+Prt+1SgSubj+3SgProxObj', 'miijin+VTI+Ind+Pos+Prt+1SgSubj+0SgObj']"
gimiijinaawaaban,"['miijin+VTI+Ind+Pos+Prt+2PlSubj+0SgObj', 'miijizh+VTA+Ind+Pos+Prt+2PlSubj+3SgProxObj']"
gidayaanaaban,"['ayaa+VAI+Ind+Pos+Prt+2SgSubj', 'ayaan+VTI+Ind+Pos+Prt+2SgSubj+0SgObj']"
gimiijinaaban,"['miijizh+VTA+Ind+Pos+Prt+2SgSubj+3SgProxObj', 'miijin+VTI+Ind+Pos+Prt+2SgSubj+0SgObj']"
odayaaninaaban,"['ayaan+VTI+Ind+Pos+Prt+3PlObvSubj+0SgObj', 'ayaan+VTI+Ind+Pos+Prt+3SgObvSubj+0SgObj']"
owaabandaaninaaban,"['waabandan+VTI+Ind+Pos+Prt+3PlObvSubj+0SgObj', 'waabandan+VTI+Ind+Pos+Prt+3SgObvSubj+0SgObj']"
omiijininaaban,"['miijin+VTI+Ind+Pos+Prt+3PlObvSubj+0SgObj', 'miijin+VTI+Ind+Pos+Prt+3SgObvSubj+0SgObj']"
owanitooninaaban,"['wanitoon+VTI+Ind+Pos+Prt+3PlObvSubj+0SgObj', 'wanitoon+VTI+Ind+Pos+Prt+3SgObvSubj+0SgObj']"
nidayaaminaaban,"['ayaa+VAI+Ind+Pos+Prt+ExclSubj', 'ayaan+VTI+Ind+Pos+Prt+ExclSubj+0SgObj']"
nimiijiminaaban,"['miijim+NI+Pret+Sg+ExclPoss', 'miijin+VTI+Ind+Pos+Prt+ExclSubj+0SgObj']"
gidayaaminaaban,"['ayaa+VAI+Ind+Pos+Prt+InclSubj', 'ayaan+VTI+Ind+Pos+Prt+InclSubj+0SgObj']"
gimiijiminaaban,"['miijim+NI+Pret+Sg+InclPoss', 'miijin+VTI+Ind+Pos+Prt+InclSubj+0SgObj']"
